,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Lathyrus articulatus,Lathyrus,articulatus,"31,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus cicera,Lathyrus,cicera,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,, margo,-,viscin threads,-,tri,-,-,reticulate,perforate,free standing columellae,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus digitatus,Lathyrus,digitatus,"51,100",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus hirsutus,Lathyrus,hirsutus,"31,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus laevigatus,Lathyrus,laevigatus,"26,50",monad,,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,ubisch bodies,,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus latifolius,Lathyrus,latifolius,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,reticulate,perforate,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus linifolius,Lathyrus,linifolius,"26,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus magellanicus,Lathyrus,magellanicus,"36,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus niger,Lathyrus,niger,"26,50",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus pannonicus,Lathyrus,pannonicus,"26,35",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,psilate,reticulate,perforate,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus pratensis,Lathyrus,pratensis,"26,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,margo,-,-,viscin threads,-,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus sativus,Lathyrus,sativus,"31,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus tuberosus,Lathyrus,tuberosus,"26,40",monad,colporate,-,isopolar,prolate,circular,-,colporus,,-,-,viscin threads,-,tri,-,-,reticulate,psilate,perforate,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus venetus,Lathyrus,venetus,"26,35",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Lathyrus vernus,Lathyrus,vernus,"26,35",monad,colporate,-,isopolar,prolate,circular,-,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,psilate,reticulate,perforate,-,-,-,Angiospermae,Fabales,Fabaceae
Launaea pumila,Launaea,pumila,"26,50",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Laurus nobilis,Laurus,nobilis,"51,100",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,echinate,-,-,-,-,-,-,Angiospermae,Laurales,Lauraceae
Lavandula angustifolia,Lavandula,angustifolia,"31,40",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,-,-,-,viscin threads,-,hexa,stephano,-,scabrate,verrucate,gemmate,foveolate,-,-,-,Angiospermae,Lamiales,Lamiaceae
Lavandula buchii,Lavandula,buchii,"26,50",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,hexa,stephano,-,psilate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Lavatera olbia,Lavatera,olbia,"101,101",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,echinate,-,-,-,-,-,-,Angiospermae,Malvales,Malvaceae
Lavatera thuringiaca,Lavatera,thuringiaca,"101,101",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,echinate,perforate,-,-,-,-,-,Angiospermae,Malvales,Malvaceae
Leandra granatensis,Leandra,granatensis,"9,9",monad,,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,,syn,-,rugulate,-,-,-,-,-,-,Angiospermae,Myrtales,Melastomataceae
Ledebouria socialis,Ledebouria,socialis,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,,-,-,viscin threads,ubisch bodies,-,-,-,perforate,-,-,-,-,-,-,Angiospermae,Asparagales,Asparagaceae
Ledum groenlandicum,Ledum,groenlandicum,"31,35",tetrad,tetrad,-,heteropolar,-,circular,-,colporus,-,-,-,-,-,tri,-,-,psilate,fossulate,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Ledum palustre,Ledum,palustre,"26,50",tetrad,colporate,-,heteropolar,oblate,circular,-,colporus,-,-,-,-,-,tri,-,-,fossulate,-,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Legousia falcata,Legousia,falcata,"26,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,penta,stephano,-,sato,-,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Legousia speculum-veneris,Legousia,speculum-veneris,"26,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,penta,stephano,-,sato,-,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Leiophyllum buxifolium,Leiophyllum,buxifolium,"26,50",tetrad,tetrad,-,heteropolar,-,circular,-,colporus,-,-,-,-,ubisch bodies,tri,-,-,fossulate,-,-,-,-,-,-,Angiospermae,Ericales,Ericaceae
Leonotis leonurus,Leonotis,leonurus,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,reticulate,perforate,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Leontodon asper,Leontodon,asper,"26,50",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leontodon hispidus,Leontodon,hispidus,"26,30",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,lophate,echinate,-,-,-,Angiospermae,Asterales,Asteraceae
Leontodon incanus,Leontodon,incanus,"26,35",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,lophate,echinate,-,-,-,Angiospermae,Asterales,Asteraceae
Leontodon saxatilis,Leontodon,saxatilis,"26,50",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Leontodon tuberosus,Leontodon,tuberosus,"26,50",monad,lophate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,lophate,echinate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
