,genus,species,min_max_size,dispersal_unit,class_1,class_2,polarity,P/E,2D_shape,3D_shape,aperture_type,aperture_features_1,aperture_features_2,aperture_features_3,viscin,ubisch,a_prefix_1,a_prefix_2,a_prefix_3,ornamentation_1,ornamentation_2,ornamentation_3,ornamentation_4,ornamentation_5,ornamentation_6,ornamentation_7,phyla,family,order
Abelia grandiflora,Abelia,grandiflora,"36,100",monad,colpate,-,isopolar,prolate,triangular,-,colpus,brevicolpus,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Dipsacales,Caprifoliaceae
Abeliophyllum distichum,Abeliophyllum,distichum,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Oleaceae
Abies cephalonica,Abies,cephalonica,"101,101",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,psilate,perforate,verrucate,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Abies concolor,Abies,concolor,"51,100",monad,saccate,-,heteropolar,-,elliptic,bisaccate,leptoma,-,-,-,viscin threads,-,-,-,-,perforate,psilate,-,-,-,-,-,Gymnospermae,Pinales,Pinaceae
Abies nordmanniana,Abies,nordmanniana,"51,101",monad,saccate,-,heteropolar,oblate,-,-,leptoma,-,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,psilate,perforate,-,-,Gymnospermae,Pinales,Pinaceae
Abutilon theophrasti,Abutilon,theophrasti,"51,100",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Malvales,Malvaceae
Callianthe megapotamica,Callianthe,megapotamica,"51,100",monad,porate,-,isopolar,isodiametric,circular,spheroidal,porus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Malvales,Malvaceae
Acacia binervia,Acacia,binervia,"26,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia dealbata,Acacia,dealbata,"51,100",polyad,polyad,-,heteropolar,-,-,-,-,-,-,-,viscin threads,ubisch bodies,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia erioloba,Acacia,erioloba,"36,100",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,-,in,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia heteroclith,Acacia,heteroclith,"26,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia karroo,Acacia,karroo,"31,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,ubisch bodies,in,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia myrtifolia,Acacia,myrtifolia,"26,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia ornata,Acacia,ornata,"26,50",polyad,polyad,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia rigens,Acacia,rigens,"36,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia seyal,Acacia,seyal,"26,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,-,in,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acacia verticillata,Acacia,verticillata,"26,50",polyad,polyad,-,heteropolar,-,-,-,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Fabales,Fabaceae
Acaena magellanica,Acaena,magellanica,"26,35",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Rosales,Rosaceae
Acaena microphylla,Acaena,microphylla,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,pontoperculum,-,-,viscin threads,-,tri,-,-,verrucate,-,-,-,-,-,-,Angiospermae,Rosales,Rosaceae
Acalypha macrostachya,Acalypha,macrostachya,"10,25",monad,colpate,-,isopolar,oblate,circular,-,colpus,brevicolpus,-,-,viscin threads,-,penta,stephano,-,fossulate,perforate,-,-,-,-,-,Angiospermae,Malpighiales,Euphorbiaceae
Acantholimon glumaceum,Acantholimon,glumaceum,"51,100",monad,colpate,-,isopolar,oblate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,homobrochate,-,-,-,-,-,Angiospermae,Caryophyllales,Plumbaginaceae
Acanthopanax gracilistylus,Acanthopanax,gracilistylus,"21,30",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Apiales,Araliaceae
Acanthostachys pitcairnioides,Acanthostachys,pitcairnioides,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Acanthostachys strobilacea,Acanthostachys,strobilacea,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,,-,-,viscin threads,-,di,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Acanthus hungaricus,Acanthus,hungaricus,"36,50",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Acanthus longifolius,Acanthus,longifolius,"26,50",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Acanthus mollis,Acanthus,mollis,"31,50",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Acanthus montanus,Acanthus,montanus,"21,50",monad,colpate,-,isopolar,prolate,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Acca sellowiana,Acca,sellowiana,"11,20",monad,,-,isopolar,oblate,angular,-,colporus,-,angulaperturate,-,viscin threads,-,,-,-,psilate,psilate,-,-,-,-,-,Angiospermae,Myrtales,Myrtaceae
Acer campestre,Acer,campestre,"31,40",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,perforate,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer griseum,Acer,griseum,"31,40",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer hyrcanum,Acer,hyrcanum,"26,35",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer macrophyllum,Acer,macrophyllum,"26,35",monad,colpate,-,-,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer negundo,Acer,negundo,"21,35",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,rugulate,perforate,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer obtusatum,Acer,obtusatum,"26,35",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,,-,-,rugulate,sate,perforate,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer opalus,Acer,opalus,"26,35",monad,colpate,-,isopolar,-,circular,-,colpus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer palmatum,Acer,palmatum,"26,50",monad,,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,,-,-,sato,-,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer platanoides,Acer,platanoides,"26,35",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,rugulate,striate,perforate,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer pseudoplatanus,Acer,pseudoplatanus,"26,35",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,ubisch bodies,,-,-,rugulate,sate,perforate,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer saccharinum,Acer,saccharinum,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,ubisch bodies,,-,-,sate,perforate,-,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Acer tataricum,Acer,tataricum,"21,30",monad,colporate,-,isopolar,oblate,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,rugulate,striate,perforate,-,-,-,-,Angiospermae,Sapindales,Sapindaceae
Aceras anthropophorum,Aceras,anthropophorum,"101,101",massula,-,-,heteropolar,-,irregular,irregular,inaperturate,-,-,-,viscin threads,-,in,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Asparagales,Orchidaceae
Aceriphyllum rossii,Aceriphyllum,rossii,"26,50",monad,colporate,-,isopolar,oblate,triangular,-,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,rugulate,perforate,-,-,-,-,-,Angiospermae,Saxifragales,Saxifragaceae
Achillea abrotanoides,Achillea,abrotanoides,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea ageratifolia,Achillea,ageratifolia,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea ageratum,Achillea,ageratum,"16,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea aspleniifolia,Achillea,aspleniifolia,"16,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea atrata,Achillea,atrata,"21,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea clavennae,Achillea,clavennae,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea clusiana,Achillea,clusiana,"21,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea collina,Achillea,collina,"21,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea distans,Achillea,distans,"21,30",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea erba-rotta,Achillea,erba-rotta,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea millefolium,Achillea,millefolium,"16,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea moschata,Achillea,moschata,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea nana,Achillea,nana,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea pannonica,Achillea,pannonica,"21,30",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea pratensis,Achillea,pratensis,"16,20",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea ptarmica,Achillea,ptarmica,"21,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea roseoalba,Achillea,roseoalba,"16,20",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea schurii,Achillea,schurii,"21,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,echinate,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea serbica,Achillea,serbica,"21,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea setacea,Achillea,setacea,"21,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achillea tomentosa,Achillea,tomentosa,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Achimenes erecta,Achimenes,erecta,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,,-,-,viscin threads,-,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Lamiales,Gesneriaceae
Achyranthes aspera,Achyranthes,aspera,"10,25",monad,porate,-,isopolar,-,circular,spheroidal,porus,, pantoaperturate,-,viscin threads,ubisch bodies,panto,panto,-,perforate,-,-,-,-,-,-,Angiospermae,Caryophyllales,Amaranthaceae
Acicarpha tribuloides,Acicarpha,tribuloides,"10,25",monad,colporate,-,isopolar,isodiametric,triangular,-,colporus,-,-,-,viscin threads,-,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Asterales,Calyceraceae
Acidanthera bicolor,Acidanthera,bicolor,"51,100",monad,sulcate,-,heteropolar,oblate,elliptic,-,colpus,operculum,-,-,viscin threads,-,-,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Asparagales,Iridaceae
Acinos alpinus,Acinos,alpinus,"26,40",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,-,-,-,viscin threads,-,hexa,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Acinos arvensis,Acinos,arvensis,"26,50",monad,colpate,-,isopolar,oblate,elliptic,-,colpus,-,-,-,viscin threads,-,hexa,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Lamiales,Lamiaceae
Acis autumnalis,Acis,autumnalis,"10,25",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,-,-,-,-,granulate,perforate,-,-,-,-,-,Angiospermae,Asparagales,Amaryllidaceae
Acis ionica,Acis,ionica,"26,50",monad,sulcate,-,heteropolar,oblate,elliptic,-,sulcus,-,-,-,viscin threads,ubisch bodies,-,-,-,-,-,-,-,-,-,-,Angiospermae,Asparagales,Amaryllidaceae
Acisanthera quadrata,Acisanthera,quadrata,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,heteroaperturate, pseudocolpus,-,viscin threads,ubisch bodies,tri,-,-,striate,-,-,-,-,-,-,Angiospermae,Myrtales,Melastomataceae
Acokanthera oblongifolia,Acokanthera,oblongifolia,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Gentianales,Apocynaceae
Aconitum anthora,Aconitum,anthora,"16,30",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Aconitum columbianum,Aconitum,columbianum,"21,30",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Aconitum lycoctonum,Aconitum,lycoctonum,"26,30",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Aconitum napellus,Aconitum,napellus,"21,35",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,psilate,scabrate,perforate,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Aconitum tauricum,Aconitum,tauricum,"21,30",monad,colpate,-,isopolar,oblate,triangular,-,colpus,,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Actaea asiatica,Actaea,asiatica,"26,50",monad,colpate,-,-,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,panto,-,-,perforate,-,-,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Actaea japonica,Actaea,japonica,"10,25",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Actaea spicata,Actaea,spicata,"21,30",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Actinidia arguta,Actinidia,arguta,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,fossulate,-,-,-,-,-,-,Angiospermae,Ericales,Actinidiaceae
Actinidia chinensis,Actinidia,chinensis,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Ericales,Actinidiaceae
Adansonia gregorii,Adansonia,gregorii,"51,100",monad,porate,-,isopolar,-,circular,spheroidal,porus,,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Malvales,Malvaceae
Adathoda schimperana,Adathoda,schimperana,"51,100",monad,colporate,-,isopolar,prolate,elliptic,-,colporus,heteroaperturate, pseudocolpus,-,viscin threads,-,di,-,-,reticulate,perforate,areolate,-,-,-,-,Angiospermae,Lamiales,Acanthaceae
Adelocaryum coelestinum,Adelocaryum,coelestinum,"9,9",monad,colporate,-,isopolar,prolate,circular,-,colporus,heteroaperturate, pseudocolpus, margo,viscin threads,ubisch bodies,tri,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,unplaced,Boraginaceae
Adenanthos sericeus,Adenanthos,sericeus,"26,50",monad,porate,-,heteropolar,oblate,triangular,-,porus,angulaperturate,-,-,viscin threads,-,tri,-,-,perforate,-,-,-,-,-,-,Angiospermae,Proteales,Proteaceae
Adenia fruticosa,Adenia,fruticosa,"26,50",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Malpighiales,Passifloraceae
Adenophora divaricata,Adenophora,divaricata,"36,50",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,stephano,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Adenophora liliifolia,Adenophora,liliifolia,"31,40",monad,porate,-,isopolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Campanulaceae
Adenostyles alpina,Adenostyles,alpina,"21,30",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,-,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Adenostyles leucophylla,Adenostyles,leucophylla,"26,50",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,echinate,perforate,-,-,-,-,-,Angiospermae,Asterales,Asteraceae
Adina pilulifera,Adina,pilulifera,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,ubisch bodies,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Gentianales,Rubiaceae
Adina rubella,Adina,rubella,"10,25",monad,colporate,-,isopolar,-,circular,spheroidal,colporus,-,-,-,viscin threads,-,tri,-,-,-,-,-,-,-,-,-,Angiospermae,Gentianales,Rubiaceae
Adonis aestivalis,Adonis,aestivalis,"31,35",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Adonis flammea,Adonis,flammea,"21,30",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,-,-,-,viscin threads,-,tri,-,-,scabrate,verrucate,gemmate,-,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Adonis vernalis,Adonis,vernalis,"21,30",monad,colpate,-,isopolar,-,circular,spheroidal,colpus,,-,-,viscin threads,ubisch bodies,tri,-,-,scabrate,verrucate,gemmate,perforate,-,-,-,Angiospermae,Ranunculales,Ranunculaceae
Adoxa moschatellina,Adoxa,moschatellina,"16,25",monad,colporate,-,isopolar,isodiametric,circular,spheroidal,colporus,margo,-,-,viscin threads,-,tri,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Dipsacales,Adoxaceae
Aechmea abbreviata,Aechmea,abbreviata,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea alba,Aechmea,alba,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea allenii,Aechmea,allenii,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea altocaririensis,Aechmea,altocaririensis,"26,50",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,di,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea amorimii,Aechmea,amorimii,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,foveolate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea ampla,Aechmea,ampla,"26,50",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,panto,-,foveolate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea andersoniana,Aechmea,andersoniana,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,free standing columellae,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea angustifolia,Aechmea,angustifolia,"26,50",monad,inaperturate,-,isopolar,-,circular,spheroidal,inaperturate,-,-,-,viscin threads,-,in,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea aquilega,Aechmea,aquilega,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea araneosa,Aechmea,araneosa,"26,50",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,tetra,-,-,foveolate,reticulate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea atrovittata,Aechmea,atrovittata,"51,100",monad,porate,-,heteropolar,oblate,elliptic,-,porus,-,-,-,viscin threads,ubisch bodies,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea azurea,Aechmea,azurea,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea bahiana,Aechmea,bahiana,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,ubisch bodies,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea bambusoides,Aechmea,bambusoides,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea bicolor,Aechmea,bicolor,"26,50",monad,porate,-,heteropolar,oblate,elliptic,-,porus,,-,-,viscin threads,-,di,-,-,psilate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea blanchetiana,Aechmea,blanchetiana,"26,50",monad,porate,-,-,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,panto,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea bracteata,Aechmea,bracteata,"26,50",monad,porate,-,heteropolar,-,circular,spheroidal,porus,-,-,-,viscin threads,-,panto,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea bromeliifolia,Aechmea,bromeliifolia,"26,50",monad,porate,-,-,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea bruggeri,Aechmea,bruggeri,"26,50",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,psilate,perforate,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea caesia,Aechmea,caesia,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
Aechmea calyculata,Aechmea,calyculata,"51,100",monad,porate,-,isopolar,oblate,elliptic,-,porus,-,-,-,viscin threads,-,di,-,-,reticulate,-,-,-,-,-,-,Angiospermae,Poales,Bromeliaceae
