,img_h,error,Clump,Misread,Area,Perimeter,Solidity,Major_axis_length,Minor_axis_length,Equivalent_diameter,Eccentricity,Extent,Contrast,Dissimilarity,Homogeneity,ASM,Energy,Correlation,Bounding_box,Entropy
Acacia xanthophloea1-2,972,1,0,1,1750,224.645707,0.720757825,79.93644267,32.10479983,47.20348719,0.915802426,0.404063727,1550.732174,11.2979293,0.593167694,0.255782108,0.505689436,0.915113936,"(547, 625, 608, 696)",3.857867472
Acacia xanthophloea1-2,972,1,0,1,2530,217.2375901,0.942974283,87.61600657,38.35548072,56.75646261,0.899087988,0.6408308,1461.754368,8.948315505,0.652955569,0.103928554,0.32210269,0.908697021,"(582, 528, 629, 612)",4.065411906
Acalypha aronioides1-1,972,0,0,0,23997,606.256926,0.980590062,186.3826736,164.5033508,174.7968231,0.47010453,0.761809524,322.6723507,5.568474317,0.497741889,0.053114904,0.230447755,0.97718664,"(653, 453, 833, 628)",5.867575717
Acalypha aronioides1-2,972,0,0,0,24259,646.7544007,0.972889513,193.3257049,160.4483958,175.7484512,0.55785528,0.702955665,389.9264772,5.369679144,0.505769584,0.082900824,0.287914524,0.973111371,"(28, 789, 231, 959)",5.876947468
Acalypha aronioides1-2,972,0,0,0,24335,590.9432175,0.984584884,179.8267077,172.7551982,176.0235334,0.27767187,0.795027606,350.7110746,4.962549801,0.484516125,0.038590695,0.196421285,0.971046072,"(285, 852, 456, 1031)",6.262205171
Acalypha aronioides1-2,972,0,0,0,25866,602.3574311,0.992174914,182.6539718,180.4792369,181.476208,0.153853376,0.798357974,290.5424218,5.224820887,0.47171494,0.038200171,0.195425846,0.97870854,"(653, 725, 834, 904)",6.231848073
Acalypha aronioides1-3,972,0,0,0,21312,546.7005769,0.990979262,169.4345593,160.2143146,164.7279004,0.325383125,0.783529412,269.0122282,5.483730952,0.442812152,0.042950858,0.207224558,0.980366741,"(34, 818, 204, 978)",6.162087874
Acalypha aronioides1-3,972,0,0,0,25820,602.5411973,0.990904555,192.3839646,171.1186505,181.3147679,0.457004841,0.762664304,228.2816215,4.805080176,0.494484428,0.052608361,0.229349753,0.981813393,"(456, 133, 639, 318)",6.050853517
Acalypha aronioides1-3,972,0,0,0,22229,568.0731599,0.990641294,187.2403472,151.9347818,168.2344847,0.584432216,0.783097301,433.8594131,5.98781556,0.407080437,0.04258428,0.206336907,0.959070551,"(606, 742, 777, 908)",6.384889331
Acalypha aronioides1-3,972,0,0,0,22616,608.4995667,0.977312994,178.8856723,162.0750526,169.6926208,0.423222241,0.774387947,351.2331779,5.312479584,0.488073174,0.04711667,0.217042285,0.971954842,"(635, 428, 812, 593)",6.015283146
Acalypha aronioides1-3,972,0,0,0,18232,733.9259736,0.909508131,165.3856153,156.8451154,152.360439,0.317195773,0.705108868,580.9967344,6.969732831,0.494888433,0.079546221,0.282018686,0.962913511,"(780, 943, 933, 1112)",5.847563338
Acalypha glabrata1-1,972,0,0,0,31531,675.51176,0.987627639,209.638364,191.8541497,200.3659554,0.403074483,0.773956799,233.6588532,5.821360143,0.364736406,0.047022914,0.216834099,0.97915602,"(392, 591, 602, 785)",6.476179735
Acalypha ornata1-1,972,0,0,0,24398,628.1980515,0.965951382,205.4478607,153.7584314,176.2512366,0.663240767,0.717588235,315.4637909,4.558012969,0.47922709,0.074310651,0.272587505,0.97551945,"(162, 893, 362, 1063)",6.059577131
Acalypha ornata1-1,972,0,0,0,13409,449.2031022,0.974420464,134.6837072,127.3666953,130.6631894,0.325120411,0.758728003,458.1849139,5.401218985,0.471794562,0.050456133,0.224589801,0.972539789,"(247, 567, 376, 704)",5.517762785
Acalypha ornata1-1,972,0,0,0,29532,719.6955262,0.931168217,224.0608368,177.3467904,193.9105728,0.611153918,0.68261563,302.142232,3.810509311,0.528099717,0.095421403,0.308895797,0.97988432,"(713, 406, 920, 615)",5.833568519
Acanthus mollis1-1,972,0,0,0,67079,1008.288455,0.991603471,362.6998281,236.4086885,292.2458476,0.758388673,0.731792198,121.9747817,3.562677505,0.469542655,0.068923678,0.262527321,0.983211751,"(35, 645, 372, 917)",5.945938703
Acanthus mollis1-1,972,0,0,0,70298,1037.744299,0.988372583,374.8177233,239.6153598,299.1758572,0.768969863,0.713801227,163.5331674,4.177049131,0.467837128,0.078659424,0.280457675,0.979406537,"(310, 35, 658, 318)",5.757844658
Acanthus mollis1-1,972,0,0,0,55667,912.1046891,0.993450405,330.6452732,214.8569143,266.228146,0.760095881,0.731152149,155.7696766,4.188086758,0.441070139,0.069144632,0.262947769,0.97752498,"(646, 559, 894, 866)",5.855538876
Acer campestre1-1,972,1,0,1,2234,182.6101731,0.970039079,65.51732544,43.84106581,53.33307738,0.743125336,0.758831522,460.6010062,8.513476727,0.329905427,0.043717805,0.208871039,0.923620408,"(140, 31, 204, 77)",6.221173314
Acer campestre1-1,972,0,0,0,81208,1120.756493,0.9801219,364.5119616,284.1385178,321.5544074,0.626397298,0.718807534,51.2802832,2.944790905,0.494508634,0.076607409,0.276774809,0.961263824,"(259, 369, 566, 737)",5.147858201
Acer campestre1-1,972,1,0,1,2005,265.137085,0.730418944,71.47121891,49.09589051,50.52568938,0.726721392,0.50836714,556.2550568,7.853170045,0.53792093,0.213527592,0.462038373,0.894934351,"(416, 949, 484, 1007)",4.476319006
Acer campestre1-1,972,1,0,1,1619,182.7939392,0.956855792,80.35051671,26.1609552,45.40236583,0.945512637,0.473807433,288.5222782,5.422842738,0.606529917,0.253646807,0.503591935,0.838524007,"(731, 641, 798, 692)",3.946583695
Acer pseudoplatanus1-1,972,1,0,1,6852,517.5706345,0.751727921,187.6909702,57.95185785,93.40362606,0.951139299,0.327784156,418.089997,3.391621123,0.772896281,0.438238134,0.66199172,0.956653208,"(379, 886, 513, 1042)",3.001805815
Acer pseudoplatanus1-1,972,1,0,1,1648,185.2792206,0.96037296,80.47349956,26.5895851,45.80719124,0.943836041,0.459308807,332.3532477,5.734469811,0.6131994,0.266342893,0.516041626,0.825656857,"(730, 640, 799, 692)",3.879449232
